 January 2023,5,Lovely Riad in a great location,"This was a lovely Riad in a great spot. Although we had a medical emergency the staff were able to assist us in dealing with it. The facilities were great, but don't expect a five star European style hotel. It is totally Moroccan. The terrace breakfasts are not to be missed.",hotelName,city
 February 2018,5,Incredibly Accommodating,"Riad Dar El Kebira was maybe the most accommodating place we have stayed in. They have a beautiful family feel, great architecture and interior design. Fresh fruit, water and toiletries in the room. Which is HUGE! And the service is 10/10. I really would recommend this Riad to anyone visiting the Rabat area.",Dar_El_Kebira,Rabat
 February 2018,4,It’s not your father’s motel,"A Riad is a cross between a very small hotel and a B and B. This was the first time we had stayed in one. There are about 6 rooms around a central courtyard. The room was long but very narrow, being barely enough for a double bed and space to squeeze in. The sitting area was also small and we could not get the TV to go on. The flies, however seemed to have enough room although they did not disturb us at all while we slept. The decor was charming and very Moroccan. Mattress was excellent. The bathroom was very large, disproportionately so given the size of the room. The staff was outstanding—friendly and welcoming. Breakfast was very good and plentiful but you basically took what they had.",Dar_El_Kebira,Rabat
 January 2018,5,Authentic local experience,Noel and the rest of the staff were very friendly and helpful. The Riad is very authentic Moroccan and not terribly modern. The team treated us like family. The only caution is concerning the taxi service organized by the Riad - the fare is very expensive compared to what you can get on your own. Otherwise a great place.,Dar_El_Kebira,Rabat
 January 2018,4,Lovely stay,"A very beautiful property which is very nicely decorated. Staff including everyone is extremely friendly and helpful. First night was in a room on two levels. Lovely room but rather tight on space in the room and toilet. Very kindly upgraded next day to a larger room which was much more comfortable. Breakfast on the roof top was very homely and nice although the broken dishes could certainly do with replacement. No hesitation in recommending although for anyone staying the first time in a riad, please ensure you know how it compares with a regular hotel!",Dar_El_Kebira,Rabat
 December 2017,5,Great stay,"Friendly and helpful staff, clean and comfortable rooms. Dinner and breakfast were traditional and delicious. We only had a short overnight stay but it was a very nice one. The Riad was also in a great location.",Dar_El_Kebira,Rabat
 December 2017,4,Business hotel with charm,"Pleasant stay, very friendly and helpful staff, very good food. Pricey, but worth the money. As a business traveller it offered me the services I needed but remained a homey and rustic place. A gym is close by and other services such as internet are adequate.",Dar_El_Kebira,Rabat
 November 2017,5,Beautiful and friendly Riad in Rabat,"This was our first stop in Morocco; what a wonderful introduction to the hospitality of the people of Morocco. A beautiful hotel, traditional decor, very comfortable rooms. We had a choice of rooms, chose a room upstairs for privacy and quiet. Dinner in the Riad our first night was delicious. Breakfast was plentiful and delicious. The staff (manager Nawal Rajabi; porters/waiters Youness and Hamid) were very helpful and attentive. Only minor complaint was wifi connection was inconsistent; Nawal admitted she was having trouble with the router.",Dar_El_Kebira,Rabat
 November 2017,5,A Quick Night in Rabat,"My party of three stayed here for just one night, yet it was by far the most memorable venue we stayed at during our week in Morocco! Great location, clean rooms, good food, and amazing staff. I would absolutely stay here again! Big shout-out to Rawal for making our stay feel like home!",Dar_El_Kebira,Rabat
 October 2017,5,Warm home in the middle of the medina,I have been in Riad Dar El Kebira and I was impressed with the quality of service and welcome we received by the staff. The food was very tasty and the beauty of the original decoration was just outstanding. I highly recommend it.,Dar_El_Kebira,Rabat
 November 2017,5,First visit,"Very nice staff and great hotel. Nice and traditional, great experience overall. Good food, clean rooms, and phenomenal roof. The breakfast and dinner were inexpensive and very good. They provide water and fruit for the room as well.",Dar_El_Kebira,Rabat
 October 2017,4,Beautifully authentic riad,We received a lovely welcome at this beautifully maintained period Riad. The architecture and interior design were a joy to admire and the service was first class. We ate a traditional Moroccan dinner in the comfortable area and we served breakfast on the terrace with great views of the city.,Dar_El_Kebira,Rabat
 October 2017,5,Charming Riad,What a lovely place - it oozes charm. The service was outstanding - I found that speaking French was a big advantage with the staff. We had dinner in the riad and the food was excellent. We ordered quite a variety and we were happy with all choices. Recommend having a tea or breakfast on the rooftop terrace. Great perspective on the city. Front desk staff also very accommodating. Room for 3 was very nice - a little tight but that was actually part of its charm! So much nicer staying in abroad like this vs a big hotel.,Dar_El_Kebira,Rabat
 October 2017,5,Magnificent service and facilties,We spent a nigth here 2 days ago and we come back again tonigth we been treatead as family The place is beatiful full of details and people in the reception and in the restaurant are fantastic Excellency in all Thanks to Joisness for his effort to please us with the food,Dar_El_Kebira,Rabat
 October 2017,5,Perfect place for a tea on the rooftop!,"The place is beautiful, clean, and the rooftop offers a great view on the Medina. The staff is welcoming and friendly, and the tea is very good, serves with few basic pastries. A piece of heaven in Rabat!",Dar_El_Kebira,Rabat
 October 2017,4,"An ancient private home converted in a hotel, warts and all","What can be improved: my room had not outside windows, and had glass doors: fresh air, light and privacy were insufficient. You should inform your guest in advance of this! This is the downside of a hotel coming from a home: it might be acceptable in a family but it is not in a hotel. What is very good: the staff is very friendly, available and helpful; the terrace has a nice view and the breackfast served there is excellent. These are strenghts for the hotel",Dar_El_Kebira,Rabat
 September 2017,5,Highly Recommended Stay for Anyone Wanting to Experience Rabat,It's very close to a lot of the landmarks and is located in the northeast corner of the Medina. The hotel is very clean and ornate. The staff would go out of their way for anything you need. They serve great local cuisine which is a little pricey compared to other places but honestly it tasted the best out of all of them. They also have modern amentities such as a/c and warm showers as well.,Dar_El_Kebira,Rabat
 October 2016,5,"Lovely, perfectly presented","A lovely Riad in a very good location. The staff were very pleasant, friendly, attentive and helpful. The rooms were all different in size, layout and furnishing and, as we were with a group, we got to look into most of the different rooms - all were lovely. We loved our room (La Pinde) and had a very comfortable stay. The very good breakfast served on the rooftop terrace was a great way to end our visit.",Dar_El_Kebira,Rabat
 September 2017,5,Still my favorite place,"For the second time but with my husband , as they used to welcoming guest even at a late time this riad is like a home on my point of view you can arrive at any time you will find someone waits for you ,our flight was late for one hour as arranged and without informing the reception ,we found the man (HAMITH) still waiting for us . We recognized the way to the hotel following the signs that was well implanted , the stylish streets still the same I think nothing can be changed because of the traditional,simple and quiet area. The breakfast on the roof was magical enough to more than one person, dinner also was delightful ,getting the menthe tea on the roof at night in that amazing weather of rabat it really deserves to be experienced Thank you nawal for your help also …",Dar_El_Kebira,Rabat
 September 2017,5,Great location and personalized service,"Hotel has a great location in the heart of the old Medina. Easy to find (follow the green signs). Beautiful authentic Moroccan rooms and cuisine. The best rooms are on the 2nd floor. 3rd floor rooftop serves as the breakfast area and has a great view across much of the city and to the water. There is a small hammam and massage area on the 3rd floor which was steamily delicious. The entire staff was very warm and helpful. Special thanks to Youness for his service, Ahmed for finding us a special olive oil, and Chayma for local advice, and for saving us after we made a booking date error.",Dar_El_Kebira,Rabat
 September 2017,5,Great location and personalized service,"Hotel has a great location in the heart of the old Medina. Easy to find (follow the green signs). Beautiful authentic Moroccan rooms and cuisine. The best rooms are on the 2nd floor. 3rd floor rooftop serves as the breakfast area and has a great view across much of the city and to the water. There is a small hammam and massage area on the 3rd floor which was steamily delicious. The entire staff was very warm and helpful. Special thanks to Youness for his service, Ahmed for finding us a special olive oil, and Chayma for local advice, and for saving us after we made a booking date error.",Dar_El_Kebira,Rabat
 August 2017,5,The Roof Top Terrace is Magical,"What a wonderful place to stay. Located close to the river and Kasbah Oudayas. The room was beautiful, although the shower over the bath made it a bit awkward, especially stepping in. The staff were wonderful and extremely helpful. We had dinner and breakfast on the Roof Top Terrace. The food was superb. Would love to come back and stay again.",Dar_El_Kebira,Rabat
 August 2017,5,Magical Experience,"I enjoyed my stay at Riad Dar El Kebira, cosy room come with authentic decor and it feels like home, so tradition. The staff was so nice and helpful, especially Nawal. If I ever come back to Rabat, I will most definitely stay again. A Moroccan breakfast is included and the overall price is reasonable... You get what you pay for, guaranteed!!",Dar_El_Kebira,Rabat
 July 2017,5,"We enjoyed it so much, we booked it again!","Riad Dar el Kebira was the first place we stayed in Morocco. We enjoyed it so much, we booked it again for the end of our trip and got an additional room for a friend! Cars cannot enter the medina, so you can park adjacent to the medina or get dropped off at the entrance to the medina. You can call the hotel to send someone to guide you and help with the luggage or you can follow the green signs (which we did) to the hotel. It is at most a 5 minute walk with just two right turns. The staff is very welcoming and brings tea and snacks to the courtyard while you register. The rooms are beautiful and the air conditioning is a blessing! I had a walking cast and easily managed the walk to the riad, the stairs to the second floor room, the stairs within the two-level room, and…",Dar_El_Kebira,Rabat
 July 2017,4,The hammam was a great experience,"We came to this Riad to have our first hammam experience and it was amazing. The lady didn't speak English though but that didn't really matter. After the hammam we ordered a few snacks and they told us 20 minutes, which wasn't true. After almost an hour we told them we're leaving, we had another appointment, and waiting almost an hour for some snacks is ridiculous.",Dar_El_Kebira,Rabat
 July 2017,5,Another lovely stay at the riad,"I stayed here for the second time in the past year, and was again delighted. The staff is welcoming and attentive, and the room was wonderful. we slept with the windows open to hear the sounds of the city. The breakfasts on the roof are sumptuous, and we ate dinner twice in the exotic dining room. I highly recommend this place. Easy walk to the best of the medina, the beach, the casbah, Hassan Tower. Only issue was pickup at Casablanca Airport. I recommend either taking a cab or the train rather than relying on the car service from the hotel.",Dar_El_Kebira,Rabat
 July 2017,5,Nice Riad in Rabat Medina,Great experience in a traditional riad. The building is beautiful and has some great traditional rooms as well as a nice rooftop. Breakfast is really good and the staff is very helpful for recommendations and travel issues.,Dar_El_Kebira,Rabat
 June 2017,5,Family oriented,Traveled with my two daughters. Very good service. Amazing breakfast Very safe and secure We stayed during Ramadan and the Medina was noisy. Air conditioner in room overall experience was very uniquely Moroccan.,Dar_El_Kebira,Rabat
 June 2017,3,"Nice and authentic, small rooms though","Riad was beautiful and looked very tidy, our room was pretty small though. Breakfast was very rich. Location is also good, in the medina, near the kasbah and close to the beach (10min/walking). Parking was possible on the nearby parkinglot, no problems.",Dar_El_Kebira,Rabat
 May 2017,5,Great Place to Stay in Rabat Medina,"The Riad is perfect. Well located, excellent multi-lingual staff who helped us with everything: driver, airport pick up, touring, restaurants. The breakfast was wonderful with Moroccan specialties each day and the views from the roof top terrace are great. The hotel is perfectly located within walking distance to the Kasbah, medina and many great restaurants.",Dar_El_Kebira,Rabat
 May 2017,5,First Stay in Morocco and it was Wonderful,"We had just flown 15 hours plus taken a Train from Casablanca to Rabat, so we were tired. We were given great directions to find the Riad, the only problem I did not read which gate to start at. Plenty of signs directing you if you start at the correct gate. Smail greeted us at the door and took our bags to our room. He then offered us Tea, Coffee, and snacks. Nawal took care of all our paperwork. I swear it was like Smail and Nawal were our best friends welcoming us into their home. They gave us a tour of the Riad and explained when and where breakfast would be. They also offered to have us have dinner at the Riad which we excepted. Dinner was fantastic. Smail was not just the bellmen, he was also the waiter for dinner, and the waiter at Breakfast which was served on the roof…",Dar_El_Kebira,Rabat
 May 2017,5,"Lovely and relaxing, great service too",I enjoyed my stay at Dar El Kebira!! It was tricky to find but there are large signs showing the way. The riad was gorgeous and I enjoyed my room. I arrived very late after a delayed flight and the gentleman quickly checked me in and showed me to my room. Breakfast was on the roof top and more than I could eat! I got suggestions on sites before I headed out for the day which were helpful also. After a long hot day of sightseeing it was great to relax on the roof top before a tasty dinner at the riad. Thank you for my stay. I will return next time I'm in Rabat and would recommend to my friends and family.,Dar_El_Kebira,Rabat
 May 2017,4,"Great location, friendly staff","A beautiful common area and lovely rooftop. Staff were very friendly and food was delicious. Harissa soup for dinner was particularly good! Room was comfortable, not as spectacular as some others we have stayed in (but we had been quite spoiled up until that point!) Location was excellent- close to the sea, all major monuments and the old town.",Dar_El_Kebira,Rabat
 May 2017,5,Lovely Riad in the heart of the medina,I stayed at this Riad for two nights with two of my friends. The staff were extremely helpful as I needed to email them with a couple of queries before we arrived and they always responded promptly with helpful information. Finding the Riad was easy - we had difficulties with finding our accommodation in Marrakech so were concerned - as there were sign posts helping us find the location throughout the medina. The staff were extremely friendly throughout our stay particularly the staff member that served our breakfast each morning and took our bags to our taxi on our last day. As our room was split over two levels we found there wasn't a lot of excess space to put our bags and move around but overall the room was very pleasant. The room also had the best wifi connection we had…,Dar_El_Kebira,Rabat
 March 2017,5,"So welcoming, you may never want to leave...","We park outside the medina and wind our way on foot through the covered alleys to our lodging for the night - the Dar El Kabira Riad. We walk through an unassuming wooden door and into a courtyard, 3 stories tall, covered at the top with a pyramid-shaped glass ceiling. It is astoundingly beautiful, filled with light, as well as a variety of furniture and artifacts. We are invited to sit down, and are offered glasses of tea while our passports are being. processed. I am admiring a very large set of carved double doors with large barrel locks, wondering where the door leads to. Soon, we are given our keys and are led to our rooms. I nearly fall over backwards when the door I have been admiring, turns out to be the door to my room ... The room has the dimensions of a large…",Dar_El_Kebira,Rabat
 May 2017,4,Riad Dar El Kebira,Very friendly & helpful staff. Nice rooftop breakfast. Excellent position in the Medina next to the souk. The Necropolis of Chellah complete with nesting storks is worth a visit only a short blue taxi ride away. Entrance fee 10Drm.,Dar_El_Kebira,Rabat
 April 2017,5,The most efficient and kind hotel staff I have ever met,"Not only an authentic and beautiful setting, the staff, especially the manager is devoted to the well being of her guests. I have encountered some problems with Royal Air Maroc regarding my flight ticket and it was impossible to solve it, making my trip very hectic. But the manager insisted to help me and to get my flight ticket right, she spent hours with the aircraft company and finally got me on the right plane. In addition, she organised all the transfers to Casablanca accordingly. Her colleagues are also warm, smiling and devoted.",Dar_El_Kebira,Rabat
 April 2017,4,Warm small hotel,"One night stay in Medina area. Charming staff in hotel which seems like it could have been a residence. No elevator. Small room but common areas and rooftop sitting area are really nice. Close walk to waterfront, sook, and Oudayas casbah.",Dar_El_Kebira,Rabat
 April 2017,4,The authentic Moroccan experience...,Riad Dar el kabira was our first Riad experience and it did not disappoint us at all.The ambience is awesome and the service is excellent .The staff is very courteous and smiling.I loved the room decor. Breakfast served by Ismail at the rooftop was the most relaxing experience.The only thing not in its favour was that the room was slightly small.Otherwise we totally enjoyed our stay there .I would highly recommend it to other families .Thank you for a very nice stay.,Dar_El_Kebira,Rabat
 April 2017,4,A nice place.,"The Riad looked good but there were a couple of hiccups. Our room was occupied by someone else, so we were relocated to a tiny little room. It was quite warm so we tried to use the air-conditioner but it didn't work despite assurances it would ""soon"". So we spent time on the rooftop terrace where the service was excellent. Breakfast was also excellent!",Dar_El_Kebira,Rabat
 April 2017,5,The Best of the Best!!,"The staff and accommodations surpassed my expectations. Thanks to the great staff our stay in Morocco was excellent. The riad was beautiful,romantic and authentic. You feel like you belong ther from the moment since you ended this majestic place. You are greeted with mint tea and pastries then taken to your room each room is different and beautifully decorated great size, beautiful bathrooms with foot standing tubs. The breakfast is upstairs in the terrace outdoors or in this very luxurious dining room. Nawal went out of her way for us all the time. She was the best hostess. Thank you, Julie",Dar_El_Kebira,Rabat
 April 2017,3,"Nice riad, but not the one advertised","When we arrived at the Dar El Kebira hotel, were were told that we had a room at ""Dar El Kebira 2"" and were escorted to another hotel a few streets away, where we seemed to be the only guests. The hotel was a fine traditional riad, but the decor was nothing like what I chose based on the photos. We had paid an upgrade for a deluxe room with a bathtub, but the room we were given had a tiny bathroom and only a shower stall. It didn't seem right at all. My husband managed to sleep, but I didn't, in part because I was kept up by the smell of the furniture (apparently freshly varnished) and the sheets, which were some of the roughest I can recall anywhere. The staff at the hotel was very helpful and professional during our two-day stay and the hostess was sympathetic when I…",Dar_El_Kebira,Rabat
 April 2017,5,A lovely Riad,"When we arrived at the Riad we were somewhat surprised to see that our booking for a triple room for 3 single men comprised queen bed & a single. This was unacceptable, our hosts were really obliging & quickly found us an additional room in another Riad, at no cost to us. The fault lay with the tour operator & not the Riad. A traditional dinner & breakfast on the terrace was delightful.",Dar_El_Kebira,Rabat
 April 2017,5,The best service in Morocco so far,Everyone was so nice and hospitable. They gave us recommendations for places to go. They even gave us a ride!! So happy to have met our hosts and stayed here even for one night. My family and I took so many photos here just to remember the wonderful memories.,Dar_El_Kebira,Rabat
 February 2017,5,"Stunning home, definitely five a five star experience!","The Riad was really easy to find, sitting just off the Main Street that runs through the old medina, so we had no problems making our own way there! Upon entering the Riad we were blown away by the traditional Moroccan details that adorned the courtyard and received a warm welcome from the staff, who served us tea and dried fruits and were available around the clock to answer any questions we had! The room was cosy and well equipped with everything we could need and was the perfect retreat to a long day exploring the city and we were welcomed each morning on the roof terrace to a breakfast full of local and seasonal produce and could enjoy coffee with a view as the sun rose over the medina, which was a really special highlight! The management and hosts went above and beyond…",Dar_El_Kebira,Rabat
 March 2017,4,A week in the Medina,Lovely and helpful staff. Location characterful. The whole interior decor was beautiful and authentic. Terrace excellent in summer. Food and room a little disappointing considering our expectations and the price. Rooms felt a little claustrophobic if you didn't have an outside window. Glass (room) door opened on to a public gallery.,Dar_El_Kebira,Rabat
 March 2017,5,Lovely Riad in the heart of the Medina,"We spent 2 nights at the Riad - it was beautiful - a lovely authentic Moroccan tiled courtyard where we were warmly greeted with mint tea and pastries. The staff was very attentive and accommodating - they started breakfast for us at 7:30 one morning upon request, which required staff to begin their day earlier. The room was spacious with a large private bathroom. The food at dinner and breakfast was plentiful and excellent. And Moroccan wine is available as well. I would return to this Riad in the future, I highly recommend Dar El Kebira.",Dar_El_Kebira,Rabat
 March 2017,4,Well appointed Riad in Rabat,This is quiet gentle Riad just off the Medina. Excellent roof terrace for breakfast and a good dining room. Our room was quiet and well-appointed. Easy parking nearby although quite difficult to find !!,Dar_El_Kebira,Rabat
 March 2017,5,A warm welcome in the Medina,"We stayed in this Riad on two separate visit to Rabat during the same holiday at the beginning and again at the end. Amina Khayou was extremely gracious and helped us with anything needed (restaurants, sight seeing, car service, etc. ) as well as going out of her way to secure services at the best prices. Amina and her staff have created a customer experience that includes comfy beds and hot steamy showers, beautiful surroundings, delicious breakfast, and a generous, professional, warm service style that makes you feel at home. This is not only a luxury Riad, you are surrounded by people who sincerely care. I highly recommend without hesitation Riad Dar El Kebira as a lovely, peaceful retreat from the hectic, colorful and exciting souk at its doorstep.",Dar_El_Kebira,Rabat
 March 2017,4,Gorgeous Riad...,"I really enjoyed my stay at Riad el Kebira, it was my favourite Riad in all of Morocco. The property is gorgeous, rooms well appointed, and staff is incredibly courteous and friendly. Breakfast was a multi - course delicious extravaganza. One minor comment is that the wifi was really weak in my room, but was working fine in lobby and rooftop. Would highly recommend and will definitely be back.",Dar_El_Kebira,Rabat
 February 2017,5,Great Stay,"Great Stay, excellent service, breakfast was great, great location, Wifi service was great, In will recommended even though it is a Riad it was easy to find it. The service in getting help with the luggage and parking is great.",Dar_El_Kebira,Rabat
 February 2017,4,Hidden gem in the Medina,I had a wonderful stay in this gorgeous riad. The personal is very friendly and help out smoothly when there was a problem with the heating. I was upgraded to a bigger room to compensate a chilly night.,Dar_El_Kebira,Rabat
 February 2017,5,"Comfortable, convenient Riad","This Riad is conveniently located in the Medina with an easily remembered route in and out, unlike some we have stayed in !. Staff were very welcoming and friendly. They changed out room as didn't think I would manage the stairs in the duplex - having seen them they were correct! The rooms were comfortable, with towels, dressing gowns and toiletries available, which is handy when only bringing hand luggage. Bottled water and fruit was replenished everyday in our room. The duty manger was very knowledgeable about the area, and provided a map and should us places we should visit. Would definitely return",Dar_El_Kebira,Rabat
 February 2017,5,Excellent service,"Dinner was delicious 3 course Moroccan fare for 280 mad. Additional tea for 2 pax and still water at 100 mad. A tad expensive but well worth it. Service from all the staff was top notch. They provide Havaianas, bath robes, nice toiletries, tissue paper in the rooms, which some other hotels don't. Sumptuous breakfast spread on rooftop terrace was a joy! A very pleasant visit!",Dar_El_Kebira,Rabat
 February 2017,4,Nice place,"The hotel is about a 5-10 minute walk into the medina which means your car cant go in. U have to call the hotel and they will send someone to get u. If u can't climb stairs and u don't get one of the two rooms on the main floor u have a slight problem. Breakfast is also up on the top floor. Whether they will serve u on the main floor, I don't know. The breakfast was not bad, decent though not a lot of food. My room was a nice size. My biggest problem was the tub and shower. The tub is dangerous as there is no non slip tape here. Also when using the hand held nozzle to shower, the curtain is right on you which is kind of skeevy. They need to correct that. Service was excellent I may add.",Dar_El_Kebira,Rabat
 January 2017,5,Great stay with delicious food,"After a week in Fe's , we arrived late to Rabat, we had a problem to park our car until the man from the hotel come to lead us to the right area , the old medina was dark at night with a narrow streets but as the man said it's so safe to have a walk The entrance was so beautiful with a big door ,traditional design and magical architecture inspired of Moroccans history. It was so calm at night we had a suite on the first floor with superb bathroom with too many windows that i really loved it. On the morning we had a Moroccan breakfast it was too much for 2 person but it was lovely After a special visit to the kasbah then we had lunch near to the ocean we turned back to our hotel . We having a drinks on the terrace for a couple of minutes then we go…",Dar_El_Kebira,Rabat
 December 2016,5,Hooray for porters! And breakfast on rooftops! Beware parking scams,"We stayed in the La Souissi room, which was laid out a little strange...it was long and skinny. I'm guessing it was to hug the outside walls of the riad. The shower here is a clawfoot tub with a shower curtain, that I'm not really a fan of. They spoke very good English at the riad. Breakfast was served up on the rooftop terrace (so bring sunglasses) and the wait staff was very attentive. They are also able to do same day laundry if you drop off by 8am. We added on the 1/2 day tour to our package. It was a good tour but it was more like 2hrs instead of a 1/2 day. The tour guide did drive us to his favorite ""locals"" spot for lunch. The walk back from there was an easy 30min. We also added the hammam and massage to our stay. If you are male, its a little bit different…",Dar_El_Kebira,Rabat
 January 2017,5,Stunning place to enjoy the Moroccan way of life...,"Just one word: Wouaw! I really enjoyed my stay at this beautiful and friendly Riad. Could have stayed one thousand and one nights there :) Simply the best way to immerse yourself into the Morrocan traditions and way of life. Thanks to the staff: Nawal,Ismael and others,..",Dar_El_Kebira,Rabat
 January 2017,5,Travel back in time,"Beautiful hotel with stunning antique furniture, amazing location, well maintained and clean. Ishmael and all the other staff are friendly and helpful, made us feel at home. I am a vegetarian and they took care of my dietary restrictions.",Dar_El_Kebira,Rabat
 December 2016,5,Loved it!,We loved Dar El Kebira. Amazing historic home in ideal location. Staff treated us like family. The food was also fantastic. We would recommend it to anyone and would definitely go back. Truly a very special experience.,Dar_El_Kebira,Rabat
 January 2017,5,New Year visit to Morocco,"Dar El Kebira is an excellent riad. The interiors are stunning, it is well located on the edge of the Medina for easy access, and the level of service, in particular, was fantastic, with very attentive house and restaurant staff. Ismael, in the roof top kitchen and who served breakfast, is a great guy. Would highly recommend this riad.",Dar_El_Kebira,Rabat
 December 2016,5,Relaxing stay,We are still here but had to post about our visit so far . The time we have been here has been so enjoyable and relaxing . Will come back again when we travel back this way . The staff are so very helpful from the manager Amina to the cleaners . We were told of places to see by Amina and how to get there which made it so much easier . We had dinner one night which was very good . Always enjoyed the breakfast our waiter Email looked after us so well . Would have eaten more times in Riad but wanted to explore . A must place to stay .,Dar_El_Kebira,Rabat
 December 2016,2,Not worth the money,"We stayed here for a few days while in Rabat for work. I started out with an open mind after reading all the reviews, but they are warranted. The manager absolutely has an attitude problem and poor customer service skills. We stayed in the Marbas (sp?), and it was not ideal. The bed was tiny and incredibly uncomfortable, the shower clogged, the bathroom smelled moldy/mildewy, the room was very narrow, the satellite tv didnt work, the wifi barely worked in the room. We informed the staff that the TV wasn't working on the first night, and they said someone would be there in 30 minutes to fix the issue. That never happened. The wifi worked on the terrace, but not in the room. We were offered an ""upgrade"" but the manager was never around to give it to us. She lives on the property…",Dar_El_Kebira,Rabat
 December 2016,4,"Nice spa, quite small","In the very centre of old Medina, it's a very nice Riad, with a small Spa on the roof. Very nice hammam/scrub experience + strong/energizing massage. Nice view of the city from the roof garden (see attached pictures!)",Dar_El_Kebira,Rabat
 November 2016,4,Lovely riad,"Dar El Kebira is hidden in the corner of the medina, but with easy access to a main street for taxis and walking. It's just over the hill from the beach and across the street from the gorgeous Kasbah les Oudaias. In the other direction, it's easy to get lost winding through the narrow streets of the medina, but great fun and a wonderful place for souvenirs and local items. The colorful furnishings of the riad are captivating and even though the drawer handles fall off sometimes, you don't really mind because it's all so charming. The bed is a bit hard but again, you're in this lovely room with tile and drapes everywhere. If you want a window you have to ask for one, otherwise you'll never know what's going on outside of your little cave. Is the sun up? Is it raining? Your may…",Dar_El_Kebira,Rabat
 November 2016,5,Arab Delight,"This Riad is tucked away in the Medina in Rabat. Once you find your way around you realise that it's not too far off the beaten track. We stayed in a large suite which had beautiful original furnishings. Breakfast was served on the roof terrace and provided a delicious selection of fresh fruit, crepes, cheese, olives and bread rolls.Unlimited coffee and cooked eggs available on request. The restaurant for evening meals was based in the downstairs salon which was furnished with beautifully decorated bench style seating and cushions. The main shopping area which caters for every taste in food, carpets, trinkets and leatherware is about five minutes away in the narrow medina streets. There are very few restaurants within the Medina and no bars or western style cafes. You need to go…",Dar_El_Kebira,Rabat
 November 2016,5,雰囲気も居心地も良い素敵なリヤド,伝統的な邸宅ホテルで、ウダイヤのカスバやメディナの散策に最適の立地です。もちろん雰囲気やサービスも素晴らしい。食事も美味しかったです。５つ星ながら変な気取りもなく、とても居心地よく過ごせました。おすすめです。 The stay in Dar el Kebira was very pleasant and valuable experience for us. We were able to spend happy and comfort time in the Moroccan traditional beautiful residence with your warm hospitality. Thank you so much to Ms Amina and all of the staff ! K.I.,Dar_El_Kebira,Rabat
 August 2016,3,First Riad in Morocco - 29 August 2016,"This is a nice Riad, the Hostess was a little rough but I think this is just her personality, whilst the young man who assists her was so gentle and kind and happy to assist in any way possible. I wish I wrote this review earlier so that I could remember his name. Breakfast is okay, very typical of a Moroccan breakfast in a hotel.",Dar_El_Kebira,Rabat
 September 2016,4,"Perfect location, delicious food, helpful staff","the staff was helpful from the moment we arrived. They even helped us call or rental car company to sort out an issue. It was an easy walk around the souk, to the Casbah and down to the ocean. The room was fantastic and the dinner we ordered one night was some of the best food we had in morocco. I still dream about the breakfast!",Dar_El_Kebira,Rabat
 June 2016,4,"Friendly, welcoming staff. Great location in the souq. Traditional Riad",The staff are very friendly and helpful. The rooms are quite small but there are options to up grade to the larger room types. All the rooms are unique and eclectic and are authentic Moroccan in décor and style. The location is fabulous but if travelling alone I wouldn’t suggest not walking to and from the markets alone at night as the alley ways are small and a little daunting. Breakfast is traditional Moroccan served on their rooftop which gives a good view over the city.,Dar_El_Kebira,Rabat
 August 2016,5,Amazing,I stayed at Dar El Kebira near the end of August and I had an amazing experience. Amina was amazing and helpful. I would suggest that anyone visiting Rabat should stay here. When we arrived we were greeted with a cup of tea and suggestions of things to see in the city. The first night we ordered from the Riad and the food was amazing Thanks Hotel staff for everything,Dar_El_Kebira,Rabat
 September 2016,3,Mixed Results,"Our stay at Dar El Kebira was a mix of good and disappointment. Here's the breakdown: Pros: - Pretty, decorative riad - Good location near Oudayas Kasbah, Rue des Consuls (main shopping pedestrian street), Le Dhow (docked boat for late night drinks), and access to cabs (more on cabs below) - Good breakfast, which is pleasant on the terrace if it's not too hot. - Nice and courteous staff Cons: - Manager at check-in and check-out seems to mean well, but she comes across as gruff and non-inviting. Quite a contrast from almost every other hotel manager or employee we met over our 9 days in Morocco. Also, she was never around over the course of our stay and it was difficult at times to find someone if we needed something. - The hotel arranged for our car transport to the…",Dar_El_Kebira,Rabat
 July 2016,4,"Unique, clean, safe","Yes, of course, Rabat has the chain hotels which will make you feel like you have not left home, but who wants that, really? The Riad DeK is intimate, old and charming. It is located in a quiet corner of the Medina. The staff is helpful and very proud of their place. Surely, there are things to complain about but only if you thought you were checking into a traditional hotel. Otherwise, go and enjoy! The wifi worked great and the breakfast plentiful.",Dar_El_Kebira,Rabat
 July 2016,5,Great place to stay in Rabat,"Dar el Kebira is in a great location -- just inside the medina across from the Oudayas...close enough to walk to souiqa and downtown if you want, and close to all the river/beach sites as well -- excellent breakfast, too!",Dar_El_Kebira,Rabat
 May 2016,4,"Great Staff, Imploite Management","The staff was exceptional. Kind, welcoming, friendly, and they went out of their way to be incredibly helpful at every turn. I wish I could say about the manager, but I cannot. The manager was very cold and explicitly transactional. The woman (I hate that I forgot her name) that greeted us on Monday morning was kind enough initially, but once it was time to settle the bill...she was short and insistent and not very friendly. A few examples: 1.) Perhaps she was frustrated because the hot water was not working that morning and maintenance personnel were in her office hurriedly trying to fix it. But, instead of apologizing for that and not letting your customers see you sweat, she was very short and rushed me along. 2.) On my first day, I had some complications with travel…",Dar_El_Kebira,Rabat
